tablet_a,tablet_b,designation_a,designation_b,ruler,regnal_year,month,day,total_animals,tx_a,tx_b,source_match,receiver_match,anchors_matched,match_strength
127500,212148,"RA 009, 050 SA 164","Hermitage 3, 324",Amar-Suen,7,1,25,1,receipt,receipt,0,1,date|quantity|receiver,3
127538,320674,"RA 009, 051 SA 199","Nisaba 08, 229",Amar-Suen,4,10,8,1,receipt,receipt,0,1,date|quantity|receiver,3
127578,132017,"RA 009, 055 SA 234",Tavolette 231,Amar-Suen,5,11,23,1,transfer,expenditure,1,0,date|quantity|source,3
128161,135078,Rochester 056,TRU 314,Amar-Suen,6,1,15,2,transfer,expenditure,1,0,date|quantity|source,3
128179,321018,Rochester 074,"Nisaba 08, 368",Amar-Suen,8,4,1,21,transfer,transfer,0,1,date|quantity|receiver,3
128624,133887,SA 023,TCND 153,Amar-Suen,5,12,4,4,transfer,transfer,1,0,date|quantity|source,3
128624,320626,SA 023,"Nisaba 08, 207",Amar-Suen,5,12,4,4,transfer,transfer,1,0,date|quantity|source,3
128776,407105,"SACT 1, 019","HSS 68, 207",Amar-Suen,4,8,3,20,transfer,transfer,1,0,date|quantity|source,3
128830,134275,"SACT 1, 075","TLB 03, 134",Šulgi,46,8,16,6,receipt,receipt,0,1,date|quantity|receiver,3
128835,320994,"SACT 1, 080","Nisaba 08, 359",Amar-Suen,1,7,26,1,receipt,receipt,0,1,date|quantity|receiver,3
129443,132034,SET 033,Tavolette 249,Amar-Suen,7,10,26,3,receipt,receipt,0,1,date|quantity|receiver,3
131729,134692,"TCL 02, 5640",Trouvaille 19,Amar-Suen,4,10,1,1,transfer,expenditure,1,0,date|quantity|source,3
131923,407082,Tavolette 137,"HSS 68, 186",Amar-Suen,1,9,16,22,transfer,transfer,0,1,date|quantity|receiver,3
132116,407559,Tavolette 332,"HSS 68, 589",Amar-Suen,4,1,11,8,,transfer,1,0,date|quantity|source,3
133889,211937,TCND 155,"Hermitage 3, 304",Amar-Suen,5,12,12,2,transfer,transfer,1,0,date|quantity|source,3
134850,407959,TRU 086,"HSS 68, 674",Amar-Suen,7,4,3,40,transfer,transfer,1,0,date|quantity|source,3
